category,description,label
Clothing & Accessories,"Whyme Fashion Unisex Regular Fit Thermal Set & Matching Cap For Kids /Kids Thermal This is a typical winter product made of super cozy yet soft yarn. The set contains top , pyjama and cap.Super Cozy And Light Weight . Made in India. 100 % quality product .These thermal set are soft against the skin and can be comfortably worn . Soft, comfortable feel from outside as well as inside . Winter wear thermal set . Soft & Stylish Look . Made up of Finest Material with the help of Advanced Machinery Blended which makes it Super Soft . keep hand warm.Wash Care Instructions: Gentle hand wash, use mild detergent, do not bleach .This is super cozy and will save your kids from the chilly winters.",1
Clothing & Accessories,"Raymond Men's Plain Slim Fit Formal Shirt Comfortable and classy, this slim fit shirt will soon become your favourite. Sporting full sleeves and standard placket. Impeccably crafted from cotton.",1
Books,"Software Architecture in Practice (Sei Series in Software Engineering) About the Author Len Bass is a Senior Principal Researcher at National ICT Australia Ltd (NICTA). He joined NICTA in 2011 after twenty-five years at the Software Engineering Institute (SEI) at Carnegie Mellon University. He is the coauthor of two award-winning books in software architecture, including Documenting Software Architectures: Views and Beyond, Second Edition (Addison-Wesley, 2011), as well as several other books and numerous papers in computer science and software engineering on a wide range of topics. Len has almost fifty years’ experience in software development and research in multiple domains, such as scientific analysis systems, embedded systems, and information systems.Paul Clements is the Vice President of Customer Success at BigLever Software, Inc., where he works to spread the adoption of systems and software product line engineering.  Prior to this position, he was Senior Member of the Technical Staff at the SEI, where, for 17 years, he lead or co-lead projects in software product line engineering and software architecture documentation and analysis. Other books Paul has coauthored include Documenting Software Architectures: Views and Beyond, Second Edition (Addison-Wesley, 2011) and Evaluating Software Architectures:  Methods and Case Studies, (Addison-Wesley, 2002), and Software Product Lines: Practices and Patterns (Addison-Wesley, 2002).  In addition, he has also published dozens of papers in software engineering reflecting his long-standing interest in the design and specification of challenging software systems. Paul was a founding member of the IFIP WG2.10 Working Group on Software Architecture.Rick Kazman is a professor at the University of Hawaii and a Visiting Scientist (and former Senior Member of the Technical Staff) at the SEI. He is a coauthor of Evaluating Software Architectures: Methods and Case Studies, (Addison-Wesley, 2002). Rick’s primary research interests are software architecture, design and analysis tools, software visualization, and software engineering economics. He is also interested in human-computer interaction and information retrieval. Rick was one of the creators of several highly influential methods and tools for architecture analysis, including the SAAM (Software Architecture Analysis Method), the ATAM (Architecture Tradeoff Analysis Method), the CBAM (Cost-Benefit Analysis Method), and the Dali architecture reverse engineering tool.",0
Clothing & Accessories,"Bonjour Men's Striped Design Cotton Socks (Pack of 4) (BRO1608-PO4) With the sophisticated finish, highest quality yarn and the best technology available, Bonjour Signature Pushes the sartorial envelope to new high - Bring the latest international formal accessory style into your wardrobe.",1
Electronics,Lap Gadgets Replacement Keyboard with Frame for HP Laptops (Black) Description: Layout: US Letter: English Color: Black Condition: Brand New Warranty: 6 months Unit:1 pcs laptop keyboard packing: Bulk pack Remark: Tested to be 100% working properly. Compatible Models: HP Pavilion 15 15-n 15-e 15-g 15-r 15-r000 15-r030wm 15-r035TX 15-r036 15-r011dx 15-r110dx 15-r052nr 15-r053cl 15-r015dx 15-r017dx 15-r018dx 15-r024nr 15-r058no15-r059no 15-r063nr 15-r104ng 15-r102ng 15-R273ng 15-R179ng 15-r102ng 15-R134cl 15-R136wm 15-R137wm Series,2
Clothing & Accessories,"Miss Wow Designer high Waist/Tummy Tucker Pattern/Stylish/Fashionable/Trendy Skinny Casual Ankle Length Denim Jeans/Pant for Women/Girls with Side Pockets Accentuated with a rinse wash effect and complemented by ankle length design, this pair of jeans proves to be a reliable addition to a fashionista’s wardrobe .Up your weekend style quotient by slipping on this fashionable bell bottom jeans from MISS WOW . It sports a rinse wash pattern and these full length jeans are suitable for any occasion",1
Books,All India Bar Examination Guide (Conducted by the Bar Council of India) (IN HINDI) -,0
Books,"Clinical Orthodontics: Current Concepts, Goals and Mechanics",0
Electronics,"TP-Link TL-WR841N 300Mbps Wireless-N Router (Not a Modem) Style name:N300   Get an Advanced Wireless Performance With the sleek TP-Link TL-WR841N 300Mbps Wireless-N Router, get exceptional Wi-Fi connectivity at home. It is effortless to install and use making it ideal for instant HD video streaming and online gaming. It is tastefully designed for home and office use and for small businesses. The most unique feature of this router is the WPS button that ensures WPA2 encryptions, eliminating the network from exterior obstacles. Give Your Mobile Devices a Powerful Wi-Fi Range By installing the TP-Link TL-WR841N 300Mbps Wireless-N Router, you are assured to get seamless Wi-Fi connection anywhere within the range. With the two external antennas, you can get a wider range. It portrays an excellent ability of mitigating data loss over wide distances and through concrete walls and obstacles. Ideal to be Installed at Home and Office This router has the capacity and speed to ensure any bandwidth intensive application works smoothly without any lag. Overall, this device is a perfect home and office router that provides great control on your internet bandwidth.",2
Clothing & Accessories,"Montu Bunty Wear New Born Baby Woollen Cardigan (Yellow, 0-6 Months) Color:Lemon Yellow   Stylish sweater is a combination of both. Made of wool this sweater has long sleeve v-neck and a regular fit. maintain. Make your baby feel warm and cozy with this beautiful knitted wool sweater.",1
Books,"Gary Player's Black Book: 60 Tips on Golf, Business, and Life from the Black Knight Review �Consider the Black Book the latest distillation of Player's most evolved and battle-tested ideas about the game he has never stopped trying to figure out, an authoritative and privileged window into what championship golf takes.� ---Golf Digest 				    	 					 About the Author Gary Player has won 167 professional golf tournaments worldwide and is one of only five men to capture golf's coveted career Grand Slam. He won nine Major championships on the PGA Tour and nine Major championships on the Senior Tour, and is the only player in history to complete the career Grand Slam on both tours.",0
Clothing & Accessories,"Twist Womens Blue Blast Washed Silky Denim Hot Shorts Casual wear & Party Wear Perfect for lazy weekend chilling, stay in your element in these cute cotton shorts by Twist",1
Clothing & Accessories,"Athlero Cotton Sports Activewear Green Black Dotted T Shirts for Men Athlero Dry Fit Sports Activewear Green Black Dotted T Shirts for Men MATERIAL - These are Dry Fit T-Shirts. They are made of pre-shrunk cotton and are soft & smooth with a high thread-count. FIT AND SIZES - For a more loose fit, please order a size up. The sizes available are - SMALL, MEDIUM, LARGE, XL. DESIGN- This is perfect for all the people looking for t-shirts, fashion t-shirts, comfortable t-shirts, casual t-shirts. This stylish t-shirt is sure to stand out no matter where you go, whether it's a casual or special occasion. WASH CARE - Please ensure wash with cold water, No IRONING",1
Electronics,Linus SK-003 Lite Dome Audio System Tweeter Speakers (Black) The dome tweeter is designed for use in car or any vehicles audio system.Allows users to mount the speakers virtually anywhere within the vehicle.,2
Electronics,"Orgic India Full Body Matte RED Skin for Apple iPhone 6S/6/7/8(Image is for Refernce) Orgic India Mobile Skin are made of high quality Premium Vinyl adhesive skin (similar to a sticker), This is not a hard case & It is a sleek way to wrap or skin your device in a variety of colors & textures for a one of a kind personalized look. Protect your device from dirt, dust, fading, scratches, peeling and smudges with premium, architectural grade vinyl that adds additional grip to your Smartphone. Edge-to-edge coverage and perfect alignment of cutouts provides access to all buttons or ports. This is a Made in India product. Note:- The actual colour may be a little different from the picture because of lighting, colour set and screen display. Picture shown here for reference .",2
Electronics,"Stealkart Bluetooth VR Remote Control, Mini Portable Remote Controller with Controller Selfie for iOS Android Smartphones Tablets PC & Others Wireless Gaming Controller with Bluetooth for Samsung Gear VR, Smart Phones, Tablets,PC,Wireless Mini Game Remote Controller Phone Camera Shutter Release Self Timer.Support Apple IOS,Android System, PC system. 2.Cross-platform SteelSeries Engine,Play games, taking pictures, listening to music, VR resources, 3d games, e-books flip, omnipotent, universal bluetooth remote control handle. 3.TV box remote control, PC computer remote control, 3D Game controllers, wireless mouse, etc. Portable hanging hole design,it can hang on the key chain can be used as mobile phone, tablet PC timer 4.Note: For IOS( iso system may not be stable in Most features),functions below are supported: Selfie-Stick Photo Taking Volume Adjustment Music Product Description - Color: Black and White - Wireless: bluetooth compliant - Compatible with: Android, Samsung, HTC, Apple devices - Wight:5.5g -- Battery: AA 1.5v -- Continuous time: about 100 hours - Size: 130*33*44mm Multi Operation Mode Selfie Mode: @+C Video Mode: @+A / @+C Music Mode: @+A Mouse Mode: @+D Ebook Mode: @+D Game Mode: @+B / @+C VR Mode: @+C Package include 1 x Wireless Bluetooth Gamepad Remote Controller 1 x User manual Note : Battery was not contains in the box.",2
Household,"ELECTROPRIME 4X Butterfly Flower Hanging Screen Curtain Room Divider Partition Wall - Red Item name:4x butterfly flower hanging screen curtain room divider partition wall red model no: lsw0001092653008767 description: - perfect for putting room, living room, restroom, hotel, ect. - perfect for adding a touch of classic charm to a variety of spaces in your home - beautiful flower and elegant butterflies pattern can decorate your home wonderful - it can be used as wall art, a divider, a screen, or a window treatment. - it can be hung vertically, also can be pasted the wall.",3
Electronics,"Aorus Gigabyte AC300W R2 ATX Mid-Tower PC Case(Black) DETACHABLE DUST FILTER PSU Shroud Design with 16.7m customizable colour options and numerous lighting effects, you could now choose the right scheme for your gaming rig through Aoros Graphics Engine.",2
Clothing & Accessories,"Nena Fashion Satin Saree With Blouse Piece (NF_Black rose Red!_Red_Free Size) Spruce up your ethnic collection this season with this stylish Semi-Stitched lehengha choli. from Nena Fashion. Once stitched, team your set with heels or flats for an elegant look.",1
Clothing & Accessories,"Vastraa Fusion Men's Cotton Chinese Collar Nehru Jacket/Waistcoat Jackets enhance the look for all occasions! Be it get-together, weddings, party, dinner dates or a casual met up, dress up in these precisely crafted jackets that come in a mix of royal colours, finest fabric, Well fitted and elegant. Paired with Kurta Payjama, Jodhpuri Pants, Chudidhar Pants or Formal Trousers. This Nehru jacket Featuring contrasting buttons on the placket, welt pockets and a simplistic design.",1
Clothing & Accessories,"TUCUTE Womens Premium Cotton Fabric Floral Print Feeding with Invisible Zip/Maternity / Pregnancy/Nighty / Night Gown/Nightwear / Nightdress. Laze around though the day, and enjoy your sleep time with this printed night wear gown for women from Tucute. This nighty or night dress as we may call it is easy on the skin.It is made of the cotton soft material It can be used for Regular wear also.",1
Electronics,"Massive Audio EQ 7- Car Audio 7 Band Equalizer 5 star car equalizer | the eq7 massive audio car stereo equalizer is a 7 band graphic equalizer that will correct peaks and dips in sound characteristics associated with most vehicles' interior. this graphic equalizer also features a switch to change the led color from red to blue depending on the interior of the vehicle. more tuning control | with stellar features such as: adjustable master volume level, adjustable subwoofer level, 2-channel rca aux input and adjustable gain, 7-band, 1/2 din, 8v line driver, auxiliary inputs, 6-channel/ 7v rca outputs, you can take full control on how you like your music to sound! clearer, better, perfect! say goodbye to white noise | don't waste your time or money on cheap quality car audio equalizers that produce a lot of background noise. with selectable 12db low-pass crossover (60hz or 90hz), and gold plated terminals, you're sure to get great crossovers and perfect sound quality! easy to install. long lasting. | the massive audio eq7 car audio equalizer is easy to install and produces amazing results for years! the eq7 is the perfect device to enhance your car audio's performance, and the best car equalizer in its class! compare us to clarion equalizer or kenwood equalizer and see the big difference! massive audio quality d | since 1999, massive audio has been an industry leader in high performance audio products. massive audio laid its roots in high quality audio reproduction through in-house engineering and a dedication to customers.",2
Household,"Eureka Forbes Aquasure from Aquaguard Smart Plus 6-Litres RO+UV+MTDS Water Purifier,Black The pioneering range of purifiers from Eureka Forbes, comes with superior craftsmanship powered by Universal, RO+UV+MTDS technology. The Aquasure range of water purifiers suffice all your needs keeping affordability in mind. The Aquasure range of water purifiers is built with the ability to purify water from any source.",3
Household,"Taparia DEP 06 Double Ended Spanner Set It is made from high grade steel, forged and accurately machined. Hardened and tempered to give long trouble free service. Provide with appropriate surface protection for rust prevention.",3
Books,The Communist Manifesto,0
Clothing & Accessories,"Timex Fashion Analog Multi-Color Dial Men's Watch-TI000U90100 Founded in 1854, Timex, that has evolved to become the privately-held Timex Group, is a household name when it comes to watches that are known for being beautiful and durable at the same time. The year 1986 saw the introduction of the Ironman range, while in 1992, Timex introduced the watch industry's first electroluminescent watch face, Indiglo. The Timex Group is an umbrella that has within its fold companies like the Timex Business Unit (Timex, Timex Ironman, Opex, Nautica, Marc Ecko), the Timex Group Luxury Watches (Salvatore Ferragamo), Sequel (Guess, Gc) and Vertime (Versace, Versus). Timex Group India has revolutionised the watch industry and made elegant timepieces available at less than half the price to those who have always yearned to own a Swiss watch.",1
Household,"Impulse International Stainless Steel Wall Mouting Wine Glass Holder/Rack,(Double Line) Material type:Stainless Steel                                                                                 |                            Size name:L 14 x 7 Inch   Easy To Install, Wall Mount Unit..Hold Upto 8 Wine Glass.This Is Elegant Wine Rack..Perfect Glass Organizer Made In Stainless Steel For Kitchen, Bar, Pubs Etc..Free Fitting Materials With This Double Wine Glass Holder..Made In India.",3
Clothing & Accessories,"Jockey Women's Cotton Bikini (Pack of 3) (Color May Vary) Super Combed Cotton fabric. Modern fit, sits just below the waist. Added front and back coverage . Concealed waistband. Label free for all day comfort.",1
Books,"Equine Infectious Diseases Review ""Equine Infectious Diseases is a complete up-to-date review essential for both the general equine practitioner and the specialist, covering both common and rare infectious diseases of the horse, with an international collection of contributors from USA, Canada, United Kingdom, Germany, Denmark, Australia and South Africa.While this book is a complete and detailed review of infectious diseases in horses, with the latest information on diagnosis, treatment and control of infectious diseases, it is also easy to read, the information is clinically relevant for the practitioner and information is easily accessed. This book is highly recommended for all veterinarians involved in equine practice.""Cynthia Donnellan VBSc (hons) Mmedvet, April 2008EQUINE INFECTIOUS DISEASESAuthors: D C Sellon and M LongPublisher: SaundersThis is an extremely comprehensive and detailed reference book on infectious diseases of horses with contributions from many world renowned experts in their various fields. It covers both organ system infections and discussion of specific viral, bacterial, rickettsial, fungal and parasitic diseases and has a final section on the prevention and control of infectious diseases. Recognition, treatment and control of infectious diseases remains the cornerstone of clinical equine practice, never more so now climate change is leading to the spread of disease vectors and bringing diseases previously considered exotic to more temperate regions of the world.Inevitably, the book has a North American bias, as the editors are based at North American Universities and the majority of the contributors are based in North America. Nevertheless, this does not detract from its value as a reference book. The chapters are extremely well illustrated and include a wide variety of illustrations of clinical cases, pathological specimens and histological slides. There is extensive discussion of the laboratory diagnosis of each disease with detailed information on the biochemical characterisation of each organism. Detailed references are included on an easy to use CD-ROM.Unfortunately, given the rapidly changing nature of infectious diseases, some subjects are already out of date. For example, no mention is made of the recent Irish outbreak of Equine Infectious Anaemia and the unusual epidemiological features of this outbreak.This is an extremely comprehensive, well illustrated summary of equine infectious disease and I can thoroughly recommend it to all those who wish to obtain detailed summaries of the major equine diseases. The section on Prevention and Control of infectious diseases is particularly useful in illustrating the approach to diagnosis and control of infectious diseases, with detailed discussion of epidemiology, biosecurity and antimicrobial therapy.With the ever increasing international travel of horses and climate changes it has never been more important for equine veterinary surgeons to be alert to the possibilities of new and emerging diseases in the U.K. This book will provide an essential reference for all those wishing to be informed on both familiar and less familiar infectious diseases of horses.Reviewed by David Dugdale at Greenwood Ellis and Partners for EVJ 				    	 					 Review Prevent, diagnose, and treat equine infectious diseases with this comprehensive resource",0
Clothing & Accessories,"Lola Dola LDLDoll010 Black Baby Doll Lingerie Sleepwear Women Ladies Girls Nightwear Babydoll Sleepwear with G - String Panty (Free Size) Babydoll Nightwear Sheer Nightwear Lingerie. This babydoll comes with a matching g-string. Size: Size Free, Bust (30 to 38 inches) Waist (28 to 34 inches). Fabric: Imported Thinnest Net Fabric with 20% Lycra content. Comfortable fit for most women/girls.",1
Books,History Of Indian Art - 12: Educational Book,0
Household,"Comfy Bean Bags - Bean Bag - for Kids - Without Fillers - Cover Only (Pink) Size:Small   Zing Bean Bags –For Kids –Cover Only, Without Beans –by Comfy Bean BagsThink for a minute! What is that one thing common between relaxing, working and socializing? Think about it…..Did you guess it right….It’s a bean bag. Comfy Bean Bags are like the dot on the ""I"" for everyone's home. You always have those moments that you could use an extra whatever to do nothing. Whether you use it to support your aching back or to keep your child in front of the television, Comfy Bean Bags are always to the point. Twist it, turn it, toss it around or park it in a corner safe and sound. Comfy is not only comfortable... but also fun to sit on! Whether you're watching a favourite show on TV, or reading the kids a bedtime story - Comfy Bean Bag is a wonderful place to sit and be snug.Comfy has uniquely engineered this 6 panel plush design teardrop bean bag cover. This bean bag cover when filled with Beans or Bean Refill is designed to provide a structured back and extended neck support in order to enhance your comfort experience hereby allowing you to relax in pure comfort and luxury.One size fits all is such a passé. At Comfy there is one for everyone. Comfy over years of research has defined a standard that will help you buy your Bean Bag that just aptly fits to your requirement. Kids Bean Bag is suitable for you if your child weighs between 5 to 30 kgs and is about .5 feet to 3 feet tall. The comfort level offered by this Kids sized bean bag is basic.A made in India product, Comfy Bean Bag is made with high quality raw material, premium zippers, and hand selected Leatherette (also called Faux Lather or Artificial Leather) that is double stitched for maximum strength and durability.In case you need us to answer any more queries about the product, please do not hesitate to write your question in the ""question & answers"" tab below. We will be more than glad to assist you and help you help you with your purchase.",3
